stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
Elland Road,2001-01-31,3.0,0.8,4.8,nan,nan,nan,nan,nan,nan,nan
Elland Road,2001-03-03,-1.8,-5.2,1.8,nan,nan,nan,nan,nan,nan,nan
Elland Road,2001-04-07,6.1,4.8,7.8,nan,nan,292.0,24.4,nan,nan,nan
Elland Road,2001-04-28,7.8,4.8,11.8,nan,nan,248.0,20.8,nan,nan,nan
Elland Road,2001-08-18,17.1,13.8,20.8,nan,nan,nan,12.6,nan,nan,nan
Elland Road,2001-11-04,7.9,4.8,10.8,nan,nan,267.0,20.2,nan,nan,nan
Elland Road,2001-11-25,9.0,4.8,12.8,nan,nan,250.0,20.4,nan,nan,nan
Elland Road,2002-01-20,8.7,5.8,11.8,nan,nan,236.0,31.0,nan,nan,nan
Elland Road,2002-02-03,7.9,4.8,9.8,nan,nan,nan,23.7,nan,nan,nan
Elland Road,2002-02-24,2.1,-0.2,3.8,nan,nan,208.0,10.2,nan,nan,nan
Elland Road,2002-03-06,9.3,6.8,10.8,nan,nan,255.0,46.7,nan,nan,nan
Elland Road,2002-03-17,8.4,6.8,11.8,nan,nan,147.0,13.7,nan,nan,nan
Elland Road,2002-03-30,6.8,-1.3,15.0,nan,nan,nan,8.1,nan,1017.2,nan
Elland Road,2002-04-07,5.4,0.8,10.8,nan,nan,73.0,10.1,nan,nan,nan
Elland Road,2002-04-20,10.4,4.8,14.8,nan,nan,nan,12.3,nan,nan,nan
Elland Road,2002-05-11,11.9,8.8,15.8,nan,nan,nan,17.9,nan,nan,nan
Elland Road,2002-08-17,20.2,14.8,25.8,nan,nan,143.0,14.2,nan,1012.9,nan
Elland Road,2002-08-28,16.7,13.8,20.8,nan,nan,270.0,14.7,nan,1020.0,nan
Elland Road,2002-09-14,13.8,12.7,14.9,nan,nan,352.0,13.7,nan,1030.2,nan
Elland Road,2002-10-19,3.9,-0.2,8.8,nan,nan,272.0,14.7,nan,1017.2,nan
Elland Road,2002-11-03,9.8,6.8,12.8,nan,nan,236.0,16.5,nan,1000.2,nan
Elland Road,2002-11-17,6.0,3.8,6.8,nan,nan,4.0,9.7,nan,1008.3,nan
Elland Road,2002-12-01,7.7,6.8,9.8,nan,nan,177.0,21.1,nan,996.2,nan
Elland Road,2002-12-21,0.9,-0.2,3.8,nan,nan,84.0,11.2,nan,1016.7,nan
Elland Road,2003-01-01,3.7,1.7,5.3,nan,nan,139.0,11.5,nan,994.1,nan
Elland Road,2003-01-18,5.6,2.8,8.8,nan,nan,nan,15.3,nan,nan,nan
Elland Road,2003-02-08,8.5,7.8,9.8,nan,nan,219.0,21.7,nan,nan,nan
Elland Road,2003-03-15,3.8,-0.2,8.8,nan,nan,90.0,15.2,nan,nan,nan
Elland Road,2003-04-12,6.8,1.8,11.8,nan,nan,nan,9.2,nan,nan,nan
Elland Road,2003-04-22,9.4,5.8,12.8,nan,nan,230.0,10.0,nan,1014.9,nan
Elland Road,2003-04-26,10.1,6.8,13.8,nan,nan,203.0,13.1,nan,1001.3,nan
Elland Road,2003-05-11,9.2,5.8,13.8,nan,nan,209.0,14.5,nan,1013.9,nan
Elland Road,2003-08-17,15.3,10.8,20.8,nan,nan,nan,11.7,nan,nan,nan
Elland Road,2003-08-26,14.4,13.4,15.8,nan,nan,12.0,11.1,nan,1020.1,nan
Elland Road,2003-10-18,9.8,8.8,12.8,nan,nan,67.0,14.8,nan,nan,nan
Elland Road,2003-11-01,6.8,5.8,8.8,nan,nan,291.0,18.5,nan,nan,nan
Elland Road,2003-11-22,2.9,0.8,4.8,nan,nan,nan,5.3,nan,nan,nan
Elland Road,2003-12-06,6.5,4.8,9.8,nan,nan,55.0,16.8,nan,1032.9,nan
Elland Road,2003-12-14,5.6,2.8,7.8,nan,nan,295.0,35.3,nan,1013.3,nan
Elland Road,2003-12-26,8.9,6.2,10.3,nan,nan,204.0,26.4,nan,995.8,nan
Elland Road,2004-01-10,7.5,3.8,10.8,nan,nan,221.0,19.7,nan,1004.7,nan
Elland Road,2004-01-31,8.2,4.3,11.5,nan,nan,212.0,23.4,nan,985.7,nan
Elland Road,2004-02-29,1.4,-0.2,4.8,nan,nan,2.0,15.1,nan,nan,nan
Elland Road,2004-03-22,5.2,3.8,8.8,nan,nan,282.0,26.6,nan,1007.9,nan
Elland Road,2004-04-13,9.5,5.8,13.8,nan,nan,263.0,14.9,nan,nan,nan
Elland Road,2004-04-25,15.8,10.8,20.8,nan,nan,nan,6.7,nan,1025.5,nan
Elland Road,2020-09-19,12.6,9.8,16.5,nan,nan,18.0,16.1,35.2,1024.0,nan
Elland Road,2020-10-03,12.2,11.5,13.1,nan,nan,357.0,18.0,37.0,990.0,nan
Elland Road,2020-10-19,9.8,7.4,12.7,nan,nan,152.0,14.5,31.5,1013.0,nan
Elland Road,2020-11-02,11.7,8.0,15.6,nan,nan,232.0,27.9,55.5,996.1,nan
Elland Road,2020-11-22,6.9,4.4,9.0,nan,nan,237.0,10.4,24.1,1023.8,nan
Elland Road,2020-12-11,6.2,5.3,6.9,nan,nan,121.0,8.2,31.5,986.1,nan
Elland Road,2020-12-16,6.9,5.6,8.2,nan,nan,157.0,19.8,42.6,1003.0,nan
Elland Road,2020-12-27,4.9,2.4,7.7,nan,nan,225.0,21.6,57.4,970.8,nan
Elland Road,2021-01-16,2.6,-1.6,5.5,6.3,nan,200.0,16.5,38.9,1015.7,nan
Elland Road,2021-02-03,3.7,2.6,5.7,3.4,nan,312.0,7.1,20.4,994.4,nan
Elland Road,2021-02-08,-0.2,-1.1,0.9,0.8,nan,31.0,17.4,37.0,1010.2,nan
Elland Road,2021-02-23,8.5,4.0,12.6,0.2,nan,167.0,26.8,61.1,1015.5,nan
