,Season_End_Year,Wk,Date,Team,HomeGoals,AwayGoals,Away,FTR,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country,stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
78,1997,6,1996-09-14,Coventry City,2,1,Leeds United,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-09-14,10.5,1.5,18.6,,,,2.7,,1024.7,
79,1997,8,1996-09-28,Coventry City,0,0,Blackburn,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-09-28,14.2,11.3,17.5,,,225.0,18.7,,1016.6,
80,1997,9,1996-10-13,Coventry City,1,1,Southampton,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-10-13,14.0,10.8,17.8,,,149.0,16.7,,1001.7,
81,1997,14,1996-11-23,Coventry City,1,2,Aston Villa,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-11-23,2.9,0.3,5.1,,,282.0,11.5,,1013.2,
82,1997,16,1996-12-07,Coventry City,1,2,Tottenham,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-12-07,2.7,2.0,3.2,,,,2.0,,1026.0,
83,1997,17,1996-12-17,Coventry City,2,1,Newcastle Utd,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-12-17,3.3,-0.4,6.3,,,,7.7,,1008.7,
84,1997,20,1996-12-28,Coventry City,3,0,Middlesbrough,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1996-12-28,0.4,-3.5,2.4,,,31.0,9.8,,1028.0,
85,1997,21,1997-01-01,Coventry City,2,2,Sunderland,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-01-01,-3.6,-8.3,-1.5,,,,10.5,,1026.0,
86,1997,23,1997-01-18,Coventry City,0,2,Manchester Utd,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-01-18,6.3,4.8,8.6,,,174.0,11.7,,1012.1,
87,1997,27,1997-02-22,Coventry City,0,0,Everton,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-02-22,9.6,8.6,10.7,,,211.0,20.0,,1020.1,
88,1997,29,1997-03-03,Coventry City,1,1,Wimbledon,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-03-03,5.7,2.6,8.3,,,,7.3,,1030.7,
89,1997,30,1997-03-08,Coventry City,0,0,Leicester City,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-03-08,7.9,6.0,9.5,,,52.0,14.1,,1035.1,
90,1997,32,1997-03-22,Coventry City,1,3,West Ham,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-03-22,6.9,-0.2,12.8,,,196.0,15.4,,1022.9,
91,1997,34,1997-04-09,Coventry City,3,1,Chelsea,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-04-09,11.0,1.6,18.9,,,,4.5,,1029.0,
92,1997,36,1997-04-21,Coventry City,1,1,Arsenal,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-04-21,5.2,-2.8,12.0,,,,8.6,,1018.4,
93,1997,37,1997-05-03,Coventry City,1,2,Derby County,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-05-03,15.2,6.4,21.5,,,,8.9,,1014.8,
94,1998,1,1997-08-09,Coventry City,3,2,Chelsea,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-08-09,23.0,17.8,29.4,,,299.0,6.3,,1019.0,
95,1998,3,1997-08-23,Coventry City,2,2,Bolton,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-08-23,20.1,15.9,23.0,,,192.0,13.0,,1013.5,
96,1998,4,1997-08-27,Coventry City,1,1,West Ham,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-08-27,15.2,11.4,19.5,,,159.0,12.5,,999.0,
97,1998,8,1997-09-24,Coventry City,1,1,Crystal Palace,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-09-24,12.6,6.0,18.0,,,,8.0,,1028.5,
98,1998,10,1997-10-04,Coventry City,0,0,Leeds United,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1997-10-04,15.3,11.5,19.9,,,258.0,11.4,,1020.3,
